enterprisenumber,denomination,typeofenterprise,status,startdate,juridicalform,address_street,address_housenumber,address_box,address_zipcode,address_city,address_country,activities
0401282367,Huis Billiau,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Diesterstraat,23,2.1,3500,Hasselt,België,41101:Ontwikkeling van residentiële bouwprojecten; 68100:Handel in eigen onroerend goed
0401289988,CONVENTS INTERIORS,Rechtspersoon,Actief,1959-05-29,Naamloze vennootschap,Laakstraat,53,,3582,Beringen,België,43320:Schrijnwerk
0401296423,Esdeel,Rechtspersoon,Actief,1947-01-27,Naamloze vennootschap,Kolisstraat,1,,3670,Oudsbergen,België,42220:Bouw van civieltechnische werken voor elektriciteit en telecommunicatie; 42220:Bouw van civieltechnische werken voor elektriciteit en telecommunicatie; 23610:Vervaardiging van artikelen van beton voor de bouw
0401302757,Grizaco,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Scheepvaartkaai,4,,3500,Hasselt,België,"42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen; 23990:Vervaardiging van andere niet-metaalhoudende minerale producten, n.e.g."
0401307608,BOUWBEDRIJF HOEDEMAKERS,Rechtspersoon,Actief,1958-01-01,Naamloze vennootschap,Genkersteenweg,243,,3500,Hasselt,België,41201:Algemene bouw van residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen
0401317407,SUNTRACK,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Siemenslaan,6C,,3650,Dilsen-Stokkem,België,"43999:Overige gespecialiseerde bouwwerkzaamheden; 43222:Installatie van verwarming, klimaatregeling en ventilatie; 68203:Verhuur en exploitatie van eigen of geleasd niet-residentieel onroerend goed, exclusief terreinen"
0401335520,A.P.C. - Leidingen,Rechtspersoon,Actief,1965-10-08,Naamloze vennootschap,Heulentakstraat,10,,3650,Dilsen-Stokkem,België,"42220:Bouw van civieltechnische werken voor elektriciteit en telecommunicatie; 43222:Installatie van verwarming, klimaatregeling en ventilatie"
0401352346,Ondernemingen Swennen,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Kiewitstraat,182,A,3500,Hasselt,België,"42211:Bouw van water- en gasdistributienetten; 43299:Overige bouwinstallatie, n.e.g."
0401358977,VAN GOMPEL N.V.,Rechtspersoon,Actief,1965-01-10,Naamloze vennootschap,Sint-Amandinastraat,35,,3970,Leopoldsburg,België,43341:Schilderen van gebouwen; 43341:Schilderen van gebouwen
0401365907,Bouwbedrijf Welkenhuysen - Bielen,Rechtspersoon,Actief,1961-06-16,Naamloze vennootschap,Industrieweg,2073,,3520,Zonhoven,België,"41201:Algemene bouw van residentiële gebouwen; 46731:Groothandel in bouwmaterialen, algemeen assortiment; 47521:Bouwmarkten en andere doe-het-zelfzaken in bouwmaterialen, algemeen assortiment"
0401381149,Les Coccinelles,Rechtspersoon,Actief,1945-07-01,Naamloze vennootschap,"Lignières, Rue de Buzin",23,,6900,Marche-en-Famenne,België,"43390:Overige werkzaamheden in verband met de afwerking van gebouwen; 46610:Groothandel in machines, werktuigen en toebehoren voor de  landbouw; 47620:Detailhandel in kranten en kantoorbehoeften in gespecialiseerde  winkels"
0401405497,Wilmet,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Chemin de la Vieille Sambre(ML),63,,5020,Namur,België,"46772:Groothandel in ijzer- en staalschroot en in oude non-ferrometalen; 43110:Slopen; 46772:Groothandel in ijzer- en staalschroot en in oude non-ferrometalen; 49410:Goederenvervoer over de weg, m.u.v. verhuisbedrijven"
0401432718,Menuiserie Olivier,Rechtspersoon,Actief,1959-12-04,Naamloze vennootschap,Rue Forville,66,,4560,Clavier,België,43320:Schrijnwerk; 43320:Schrijnwerk
0401470231,CARISEL,Rechtspersoon,Actief,1955-04-07,Naamloze vennootschap,Rue de la Goëtte,85,,1420,Braine-l'Alleud,België,43331:Plaatsen van vloer- en wandtegels; 43331:Plaatsen van vloer- en wandtegels
0401473793,Entreprises générales H. Cooremans,Rechtspersoon,Actief,1957-10-08,Naamloze vennootschap,Rue du Culot,29,,1495,Villers-la-Ville,België,42110:Bouw van autowegen en andere wegen; 43999:Overige gespecialiseerde bouwwerkzaamheden
0401483394,HAULOTTE,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Avenue des Vallées,130,,1341,Ottignies-Louvain-la-Neuve,België,42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen
0401491710,Les Entreprises Melin,Rechtspersoon,Actief,1956-05-01,Naamloze vennootschap,Avenue Provinciale,85-87,,1341,Ottignies-Louvain-la-Neuve,België,42110:Bouw van autowegen en andere wegen; 42120:Bouw van boven- en ondergrondse spoorwegen; 39000:Sanering en ander afvalbeheer; 42110:Bouw van autowegen en andere wegen; 42130:Bouw van bruggen en tunnels; 81300:Landschapsverzorging
0401492007,COLEN,Rechtspersoon,Actief,1967-10-21,Naamloze vennootschap,Rue Pré du Pont(Jod.),31,,1370,Jodoigne,België,41201:Algemene bouw van residentiële gebouwen; 16230:Vervaardiging van ander schrijn- en timmerwerk; 16291:Vervaardiging van andere artikelen van hout; 43320:Schrijnwerk
0401506754,Good Life Canal,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Nieuwewandeling,62,,9000,Gent,België,"41101:Ontwikkeling van residentiële bouwprojecten; 41102:Ontwikkeling van niet-residentiële bouwprojecten; 68201:Verhuur en exploitatie van eigen of geleasd residentieel onroerend goed, exclusief sociale woningen; 68203:Verhuur en exploitatie van eigen of geleasd niet-residentieel onroerend goed, exclusief terreinen"
0401605140,Entreprise de travaux publics Léon Michaux,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Rue Sifride Demoulin(FAR),2,,6240,Farciennes,België,"42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen; 43299:Overige bouwinstallatie, n.e.g."
0401607318,ENTREPRISES PAQUET,Rechtspersoon,Actief,1945-11-24,Naamloze vennootschap,Rue de la Vallée(NAL),87,,6120,Ham-sur-Heure-Nalinnes,België,41201:Algemene bouw van residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen
0401636319,PRIME CONSTRUCTION,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Rue Noël Sart-Culpart,44,,6060,Charleroi,België,"43110:Slopen; 41201:Algemene bouw van residentiële gebouwen; 42130:Bouw van bruggen en tunnels; 43120:Bouwrijp maken van terreinen; 46710:Groothandel in vaste, vloeibare en gasvormige brandstoffen en aanverwante producten"
0401664033,Entreprises générales Paul Mathieu,Rechtspersoon,Actief,1949-03-15,Naamloze vennootschap,Rue Champeau,6,,6061,Charleroi,België,"41203:Algemene bouw van andere niet-residentiële gebouwen; 41203:Algemene bouw van andere niet-residentiële gebouwen; 47521:Bouwmarkten en andere doe-het-zelfzaken in bouwmaterialen, algemeen assortiment"
0401672248,Etablissements Jordan,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Rue de Fontenelle(FAR),33,,6240,Farciennes,België,"47521:Bouwmarkten en andere doe-het-zelfzaken in bouwmaterialen, algemeen assortiment; 43222:Installatie van verwarming, klimaatregeling en ventilatie; 43320:Schrijnwerk; 47592:Detailhandel in verlichtingsartikelen in gespecialiseerde winkels; 47789:Overige detailhandel in nieuwe artikelen in gespecialiseerde winkels, n.e.g."
0401683136,Terrassements Mécaniques Courcelles,Rechtspersoon,Actief,1968-12-03,Naamloze vennootschap,Rue du Nord(CO),107,,6180,Courcelles,België,43120:Bouwrijp maken van terreinen
0401711345,Chauffage O. et C. Dufranne Frères,Rechtspersoon,Actief,1929-07-29,Naamloze vennootschap,Rue de Monceau Fontaine,44,,6031,Charleroi,België,"43221:Loodgieterswerk; 43222:Installatie van verwarming, klimaatregeling en ventilatie"
0401722332,Entreprises Lepage frères,Rechtspersoon,Actief,1948-01-01,Naamloze vennootschap,Rue de l'Aurore,2,A,6040,Charleroi,België,43999:Overige gespecialiseerde bouwwerkzaamheden; 43320:Schrijnwerk
