enterprise_number,activity_number,nace_code,classification_code
0402052231,2,43999,MAIN
0402052825,1,23700,MAIN
0402052825,2,43331,MAIN
0402052825,3,23700,SECO
0402054409,1,41201,MAIN
0402054409,2,43999,MAIN
0402054409,3,41201,SECO
0402141412,1,41101,MAIN
0402141412,2,41102,SECO
0402146162,1,43995,MAIN
0402146162,2,43310,SECO
0402146162,3,43341,SECO
0402146162,4,43390,SECO
0402193573,1,41101,MAIN
0402210795,1,41101,MAIN
0402210795,2,68201,SECO
0402273351,1,43910,MAIN
0402273351,2,43910,MAIN
0402273351,3,43221,SECO
0402273351,4,43291,SECO
0402309775,1,42110,MAIN
0402309775,2,42110,MAIN
0402309775,3,43120,SECO
0402309775,4,43999,SECO
0402355010,1,46739,MAIN
0402355010,2,43999,MAIN
0402355010,3,26300,SECO
0402355010,4,46739,SECO
0402355010,5,68311,SECO
0402375301,1,41201,MAIN
0402375301,2,41201,MAIN
0402375301,3,41203,SECO
0402375301,4,46731,SECO
0402387573,1,41203,MAIN
0402387573,2,43999,MAIN
0402404104,1,42110,MAIN
0402404104,2,42110,MAIN
0402408359,1,41101,MAIN
0402421326,1,41201,MAIN
0402443595,1,41203,MAIN
0402443595,2,41203,MAIN
0402443595,3,41201,SECO
0402458344,1,43222,MAIN
0402458344,2,43222,MAIN
0402458344,3,25110,SECO
0402458344,4,47521,SECO
0402508428,1,28250,MAIN
0402508428,2,43222,MAIN
0402508428,3,43221,SECO
0402528323,1,41201,MAIN
0402528323,2,41201,MAIN
0402528323,3,25110,SECO
0402528323,4,33150,SECO
0402528323,5,42919,SECO
0402528323,6,43299,SECO
0402557027,1,42110,MAIN
0402557027,2,41203,SECO
0402557027,3,42220,SECO
0402559502,1,42110,MAIN
0402559502,2,42110,MAIN
0402559502,3,42220,SECO
0402559502,4,43999,SECO
0402570982,1,43910,MAIN
0402570982,2,25120,MAIN
0402570982,3,43910,SECO
0402570982,4,46900,SECO
0402570982,5,47781,SECO
0402570982,6,49410,SECO
0402604141,1,43291,MAIN
0402733112,1,41101,MAIN
0402754391,1,41101,MAIN
0402754391,2,68311,SECO
0402755381,1,41203,MAIN
0402755381,2,16210,MAIN
0402755381,3,41201,SECO
0402755381,4,43120,SECO
0402755381,5,43291,SECO
0402755381,6,43343,SECO
0402755381,7,43910,SECO
0402771813,1,41201,MAIN
0402771813,2,41101,MAIN
0402771813,3,41102,SECO
0402771813,4,41201,SECO
0402771813,5,43999,SECO
0402784778,1,42110,MAIN
0402784778,2,42110,MAIN
0402906029,1,41101,MAIN
0402906029,2,68201,SECO
0402935030,1,41101,MAIN
0402935030,2,41102,MAIN
0402937802,1,28990,MAIN
0402937802,2,41101,MAIN
0402937802,3,46630,SECO
0402938196,1,46731,MAIN
0402938196,2,43222,MAIN
0402940077,1,43222,MAIN
0402940077,2,96012,SECO
0402940869,1,43222,MAIN
0402940869,2,43222,MAIN
0402943740,1,43222,MAIN
0402943740,2,46431,SECO
0402969474,1,43222,MAIN
0402969474,2,43222,MAIN
0402969474,3,33110,SECO
0402969474,4,33200,SECO
0402969474,5,43221,SECO
0402973335,1,41201,MAIN
0402973335,2,41201,MAIN
0402973335,3,41203,SECO
0402981946,1,46742,MAIN
0402981946,2,43222,MAIN
0402982936,1,68203,MAIN
0402982936,2,41101,MAIN
0402982936,3,41102,SECO
0403111313,1,43211,MAIN
0403111313,2,26300,MAIN
0403144074,1,43222,MAIN
0403144074,2,46140,SECO
0403144074,3,46693,SECO
0403217419,1,41101,MAIN
0403217419,2,68311,SECO
0403219595,1,41101,MAIN
0403219595,2,73200,SECO
0403263444,1,41102,MAIN
0403263444,2,68203,MAIN
0403263444,3,56101,SECO
0403263444,4,56102,SECO
0403263444,5,68311,SECO
0403272154,1,64921,MAIN
0403272154,2,41101,MAIN
0403272154,3,66199,SECO
0403306501,1,41101,MAIN
0403306501,2,41102,SECO
0403306501,3,68100,SECO
0403306501,4,68201,SECO
0403306501,5,68203,SECO
0403306501,6,68311,SECO
0403344311,1,43211,MAIN
0403344311,2,42220,SECO
0403353120,1,41101,MAIN
0403353120,2,41101,MAIN
0403353912,1,41101,MAIN
0403361434,1,41101,MAIN
0403361434,2,68311,SECO
0403426265,1,41201,MAIN
0403426265,2,68201,SECO
0403598786,1,42110,MAIN
0403598786,2,23690,MAIN
0403600172,1,43222,MAIN
0403600172,2,46731,SECO
0403649563,1,46742,MAIN
0403649563,2,43222,MAIN
0403661144,1,43320,MAIN
0403661144,2,43320,MAIN
0403661144,3,46741,SECO
0403664312,1,42130,MAIN
0403664312,2,42130,MAIN
0403664312,3,43130,SECO
0403664312,4,71209,SECO
0403676881,1,42110,MAIN
0403676881,2,42110,MAIN
0403704496,1,42919,MAIN
0403704496,2,33150,SECO
0403704496,3,42220,SECO
0403704496,4,43110,SECO
0403705486,1,43999,MAIN
0403705486,2,43991,MAIN
0403705486,3,41101,SECO
0403705486,4,43291,SECO
0403705486,5,43341,SECO
0403705486,6,43992,SECO
0403709149,1,41201,MAIN
0403709149,2,41201,MAIN
0403720433,1,41201,MAIN
0403720433,2,43120,MAIN
