enterprise_number,street,house_number,box,zipcode,city,country
0412815271,De Béjarlaan,1B,,1120,Brussel,België
0412820023,Eekloseweg,85,2,9910,Aalter,België
0412822003,Vennebosstraat(Oes),9,,8720,Dentergem,België
0412830218,Leenstraat,61,,9890,Gavere,België
0412862781,Kachtemsestraat,290,,8800,Roeselare,België
0412870996,Sint-Ursmarusstraat (BAA),23,,9200,Dendermonde,België
0412889507,Avenue du Progrès,28,,4432,Ans,België
0412899603,Mechelseweg,87,,1880,Kapelle-op-den-Bos,België
0412909105,Waterloolaan,16,,1000,Brussel,België
0412917518,Rue de la Fagne d'Hi,1,,6600,Bastogne,België
0412921377,Prins Karellaan,50,,8300,Knokke-Heist,België
0412930483,Hoge Mauw,300,,2370,Arendonk,België
0412945034,Waregemseweg (W.),62B,,9790,Wortegem-Petegem,België
0412947608,Delleurlaan,15,,1170,Watermaal-Bosvoorde,België
0412949784,Schrieksesteenweg,117,,2221,Heist-op-den-Berg,België
0412965127,de Selliers de Moranvillelaan,33,,1082,Sint-Agatha-Berchem,België
0412968293,Kapellei,157,,2980,Zoersel,België
0412983933,Wuustwezelseweg,95,,2990,Wuustwezel,België
0413041539,Aachener Strasse,22,,4731,Raeren,België
0413059454,Pauline Van Pottelsberghelaan,22,,9051,Gent,België
0413070441,"Rue de l'Adoption, Mar.",61,,5660,Couvin,België
0413071827,Kwalestraat,74,,9320,Aalst,België
0413093504,Industrieterrein Kanaal-Noord,1423,,3960,Bree,België
0413125572,Karel de Clercqstraat,1,,9042,Gent,België
0413136460,Rue de la Légende,59,,4141,Sprimont,België
0413136856,Wondelgemkaai,8,,9000,Gent,België
0413164966,Tragelweg,4,,9230,Wetteren,België
0413165560,Noordsterstraat,14,,8380,Brugge,België
0413198422,Fortsesteenweg,30,,2860,Sint-Katelijne-Waver,België
0413214159,Noordstraat,10,,9220,Hamme (Vl.),België
0413224849,Kleine Dries(D),12,,8600,Diksmuide,België
0413252563,Heirweg,175,,8710,Wielsbeke,België
0413255335,Jagersborgweg,15,,3680,Maaseik,België
0413268795,Koningin Astridlaan,58A,,2550,Kontich,België
0413280772,Belliardstraat,40,6,1040,Etterbeek,België
0413352434,Laarstraat,16,b12,2610,Antwerpen,België
0413387868,Knokbeeklaan,98,,8930,Menen,België
0413457055,Beneluxpark(Kor),29,21,8500,Kortrijk,België
0413457451,Nijverheidslaan,54,,8560,Wevelgem,België
0413487937,Place de l'Eglise,14,,7340,Colfontaine,België
0413516839,Durmakker,8,,9940,Evergem,België
0413517136,Nieuwlandlaan,6,,3200,Aarschot,België
0413538912,Haltstraat,92,,3900,Pelt,België
0413552570,Baeckelmansstraat,132,,2830,Willebroek,België
0413572564,Winkelomseheide,221,,2440,Geel,België
0413582957,Rue d'Aix la Chapelle,189,,4701,Eupen,België
0413595231,Bruyelstraat,3,4,8531,Harelbeke,België
0413599486,Rue du Château,53,,1480,Tubize,België
0413607406,Kruisstraat(O),12,,9290,Berlare,België
0413630071,Gemeenschappenlaan,100,,1200,Sint-Lambrechts-Woluwe,België
0413662141,Washingtonstraat,48,,1050,Elsene,België
0413665903,Ekkelgaarden,16,,3500,Hasselt,België
0413695201,Harensesteenweg,299,,1800,Vilvoorde,België
0413696090,Petrusstraat(KIE),4,,9130,Beveren,België
0413699951,Boulevard du Nord(F-E),37,,6140,Fontaine-l'Evêque,België
0413717371,Rue de Lantin,155,B,4000,Liège,België
0413753894,Industrieweg-Noord,1161,,3660,Oudsbergen,België
0413759834,Oude Heirweg,17,,8851,Ardooie,België
0413779828,Beekstraat,28,,9870,Zulte,België
0413787548,Kortrijksesteenweg,14B,,9830,Sint-Martens-Latem,België
0413796060,Oudenburgweg,45,,8490,Jabbeke,België
0413825754,"Libramont, Quartier Haynol",1.,,6800,Libramont-Chevigny,België
0413835553,Evenbroekveld,1,,9420,Erpe-Mere,België
0413836939,Vaarnewijkstraat,+14,,8530,Harelbeke,België
0413860891,Schriekstraat,139,,2223,Heist-op-den-Berg,België
0413888211,Kluizenhof(SGW),25,,9170,Sint-Gillis-Waas,België
0413901473,Veedijk,46,,2300,Turnhout,België
0413906324,Leenstraat,137,,9870,Zulte,België
0413925427,Plezierstraat,8,A,9810,Nazareth,België
0413951260,Groenendaallaan,399,,2030,Antwerpen,België
0413970759,Koewacht(STE),92,A,9190,Stekene,België
0413973234,Raverschootstraat,159,,9900,Eeklo,België
0413988278,Rue du Montys,10,,4557,Tinlot,België
0414011737,Nijverheidsstraat,26,,2260,Westerlo,België
0414016289,Tenbosstraat,90,,1050,Elsene,België
0414044203,Zavelvennestraat,36,,3500,Hasselt,België
0414103886,Berchemweg,95,,9700,Oudenaarde,België
0414216823,Kazandstraat,55,,8800,Roeselare,België
0414220880,Papegemstraat,52,,9340,Lede,België
0414238696,Gentstraat,68,1,9800,Deinze,België
0414240181,Noorderlaan,9,,2030,Antwerpen,België
0414272845,Chaussée Impériale,150,,6060,Charleroi,België
0414291354,Lapseheide,40,,3980,Tessenderlo,België
0414293433,Stationsplein,1,,9100,Sint-Niklaas,België
0414296502,Krommewege,80,,9990,Maldegem,België
0414299074,Morsheck,2,,4760,Büllingen,België
0414303727,"Industriepark ""De Bruwaan""",91A,,9700,Oudenaarde,België
0414308180,Ringlaan,11,,9900,Eeklo,België
0414334114,Chaussée de Marche(NN),856,,5100,Namur,België
0414334213,Genkersteenweg,243,,3500,Hasselt,België
0414343418,Waterven(Heu),4,,8501,Kortrijk,België
0414431510,Spijker,65,,2910,Essen,België
0414435468,Steenweg op Mol,177,,2360,Oud-Turnhout,België
0414451702,Chaussée de Nivelles,83,,1420,Braine-l'Alleud,België
0414460412,Plaanstraat,1,,9810,Nazareth,België
0414466548,Fonteynestraat(Den),3,,8720,Dentergem,België
0414468429,Sentestraat(Heu),99,,8501,Kortrijk,België
0414502576,Rue Haute Claire,20,,4041,Herstal,België
0414510593,Sint-Baafskerkstraat,1,,8200,Brugge,België
0414560677,Antoon Catriestraat,18,,9031,Gent,België
0414627884,Herkenrodesingel,87,,3500,Hasselt,België
0414631052,Neerhofstraat,27,1,9600,Ronse,België
0414671535,Rue Grosse Pierre(PLX),9,,4122,Neupré,België
0414684403,Industriepark-West,59,,9100,Sint-Niklaas,België
0414709444,Rue de Fontenelle,27,,1390,Grez-Doiceau,België
0414716669,Potaardestraat,74,18,2845,Niel,België
0414735277,Knaptandstraat,4,,9100,Sint-Niklaas,België
0414737554,Patrijzenlaan (STG),2,,9200,Dendermonde,België
0414751115,Avenue Landas,5,,1480,Tubize,België
0414789222,Ijzeren Bareel,32,,8587,Spiere-Helkijn,België
0414795358,Meerdegatstraat,165,,3570,Alken,België
0414807434,Tombroekstraat(Rol),22,,8510,Kortrijk,België
0414815055,Rue Ste Brigitte (Thu),100,,7971,Beloeil,België
0414818916,Albertstraat,21,,8980,Zonnebeke,België
0414829705,Prins Boudewijnlaan,7C,201,2550,Kontich,België
0414857518,Polenlaan(STE),100,,9190,Stekene,België
0414862961,Diestsesteenweg(LIN),60,,3210,Lubbeek,België
0414885133,Ternatsestraat,105,31,1790,Affligem,België
0414892358,Avenue du Parc,25,,4650,Herve,België
0414920072,Schaliehoevestraat,11,A,2220,Heist-op-den-Berg,België
0414933732,Meldertsestraat,8,,3545,Halen,België
0414964713,Palingbrug,8,,2000,Antwerpen,België
0414977777,Klein-Heidestraat,25,,3670,Oudsbergen,België
0414985893,Leuvensesteenweg,613,,1930,Zaventem,België
0414992526,Buitenheide,4,,3930,Hamont-Achel,België
0415003414,Dorpsdam(VRA),16A,,9120,Beveren,België
0415035977,Rue Libon,35,,4800,Verviers,België
0415037165,Mijnwerkerslaan,35,,3550,Heusden-Zolder,België
0415038353,Sint-Denijsstraat,157,,1190,Vorst,België
0415042709,Handelsstraat,12,,8630,Veurne,België
0415061515,Taunusweg,49,,3740,Bilzen,België
0415135056,Wijerstraat,6,,3520,Zonhoven,België
0415168314,Industrieweg,160,,9030,Gent,België
0415173361,Misweg,3,B,2220,Heist-op-den-Berg,België
0415188902,Foreestelaan,86,201,9000,Gent,België
